0,30
1,30
2,28
3,32
4,65
5,74
6,56
7,54
8,52
9,37
10,33
11,36
12,34
13,34
14,35
15,37
16,35
17,43
18,41
19,40
20,46
21,49
22,46
23,40
24,38
25,36
26,33
27,37
28,55
29,57
30,47
31,50
32,52
33,36
34,30
35,34
36,31
37,33
38,34
39,33
40,33
41,40
42,42
43,38
44,41
45,53
46,50
47,40
48,37
49,39
50,35
51,33
52,48
53,46
54,45
55,49
56,54
57,36
58,30
59,35
60,32
61,33
62,35
63,32
64,34
65,44
66,44
67,39
68,40
69,51
70,53
71,40
72,38
73,37
74,31
75,37
76,55
77,47
78,45
79,54
80,55
81,38
82,34
83,39
84,37
85,36
86,38
87,37
88,37
89,48
90,51
91,42
92,43
93,50
94,53
95,45
96,40
97,45
98,38
99,40
100,69
101,59
102,49
103,51
104,56
105,42
106,41
107,51
108,43
109,44
110,43
111,39
112,38
113,50
114,44
115,42
116,37
117,41
118,46
119,43
120,42
121,58
122,46
123,41
124,56
125,75
126,56
127,64
128,60
129,62
130,56
131,55
132,48
133,45
134,39
135,37
136,41
137,44
138,46
139,44
140,39
141,43
142,61
143,46
144,44
145,61
146,55
147,46
148,53
149,66
150,53
151,51
152,44
153,47
154,50
155,49
156,47
157,42
158,41
159,41
160,43
161,42
162,42
163,41
164,44
165,45
166,42
167,34
